ts_code,trade_date,close,pre_close,vol,amount
600745.SH,20260213,33.18,33.59,296626.72,994807.524
600745.SH,20260212,33.59,35.23,567799.46,1922456.342
600745.SH,20260211,35.23,35.54,197551.78,699609.95
600745.SH,20260210,35.54,35.18,311555.43,1110082.059
600745.SH,20260209,35.18,33.95,368978.97,1286710.206
600745.SH,20260206,33.95,33.29,367642.36,1246097.469
600745.SH,20260205,33.29,34.23,356482.75,1192911.323
600745.SH,20260204,34.23,34.61,455145.68,1546459.132
600745.SH,20260203,34.61,35.46,913425.32,3073438.53
600745.SH,20260202,35.46,39.4,129166.0,458022.636
600745.SH,20260130,39.4,39.92,441355.61,1736821.919
600745.SH,20260129,39.92,40.58,557856.91,2249518.618
600745.SH,20260128,40.58,39.3,1016928.81,4161724.206
600745.SH,20260127,39.3,39.52,485583.1,1885019.421
600745.SH,20260126,39.52,40.35,548398.78,2195123.014
600745.SH,20260123,40.35,39.14,781079.58,3109757.646
600745.SH,20260122,39.14,40.63,821687.36,3231697.145
600745.SH,20260121,40.63,39.25,856910.9,3464477.707
600745.SH,20260120,39.25,39.39,472258.27,1861989.862
600745.SH,20260119,39.39,39.41,444667.17,1753634.835
600745.SH,20260116,39.41,38.82,614917.43,2415049.911
600745.SH,20260115,38.82,38.8,423327.02,1627816.332
600745.SH,20260114,38.8,38.58,526396.27,2045061.991
600745.SH,20260113,38.58,39.96,525227.31,2048292.853
600745.SH,20260112,39.96,39.11,577735.04,2286502.335
600745.SH,20260109,39.11,38.74,408880.01,1595324.82
600745.SH,20260108,38.74,38.5,393915.77,1529364.475
600745.SH,20260107,38.5,38.98,432968.35,1675415.459
600745.SH,20260106,38.98,37.9,578682.57,2234174.765
600745.SH,20260105,37.9,37.28,481344.3,1818602.883
600745.SH,20251231,37.28,37.49,342579.17,1280367.331
600745.SH,20251230,37.49,37.35,267424.0,1003857.12
600745.SH,20251229,37.35,37.89,381334.89,1441807.803
600745.SH,20251226,37.89,38.03,271650.04,1031009.485
600745.SH,20251225,38.03,38.22,306406.62,1163707.841
600745.SH,20251224,38.22,38.47,359912.65,1372277.844
600745.SH,20251223,38.47,37.62,601457.34,2300202.524
600745.SH,20251222,37.62,37.21,291917.71,1100333.171
600745.SH,20251219,37.21,36.9,219253.02,815944.678
600745.SH,20251218,36.9,37.28,231810.75,861606.851
600745.SH,20251217,37.28,36.86,272006.63,1006209.5
600745.SH,20251216,36.86,38.04,339793.41,1260319.551
600745.SH,20251215,38.04,39.12,326044.97,1248457.363
600745.SH,20251212,39.12,38.02,441628.16,1715747.212
600745.SH,20251211,38.02,39.15,368871.66,1417414.442
600745.SH,20251210,39.15,39.37,353919.69,1375637.397
600745.SH,20251209,39.37,39.15,537773.4,2126586.298
600745.SH,20251208,39.15,38.98,339679.04,1330804.451
600745.SH,20251205,38.98,38.54,352454.38,1355801.823
600745.SH,20251204,38.54,38.91,317246.45,1225326.813
600745.SH,20251203,38.91,40.0,444012.4,1741253.412
600745.SH,20251202,40.0,40.91,375868.08,1508897.519
600745.SH,20251201,40.91,40.92,354578.01,1447957.869
600745.SH,20251128,40.92,41.15,399042.91,1622384.418
600745.SH,20251127,41.15,39.56,776813.79,3184694.892
600745.SH,20251126,39.56,40.83,576440.01,2306508.235
600745.SH,20251125,40.83,40.84,457161.58,1875176.663
600745.SH,20251124,40.84,42.36,538703.43,2189979.353
600745.SH,20251121,42.36,42.65,526130.38,2250890.601
600745.SH,20251120,42.65,42.3,649935.25,2837534.727
600745.SH,20251119,42.3,41.93,428583.79,1792417.358
600745.SH,20251118,41.93,43.9,570804.14,2430757.531
600745.SH,20251117,43.9,45.0,493534.67,2174264.137
600745.SH,20251114,45.0,44.31,690612.69,3112162.037
600745.SH,20251113,44.31,44.12,568999.41,2519160.951
600745.SH,20251112,44.12,46.25,711298.29,3174214.633
600745.SH,20251111,46.25,46.36,1044229.04,4811352.79
600745.SH,20251110,46.36,45.0,1446328.48,6736077.774
600745.SH,20251107,45.0,41.02,902164.87,3772502.073
600745.SH,20251106,41.02,43.08,1032326.46,4236640.242
600745.SH,20251105,43.08,44.83,679328.61,2948877.725
600745.SH,20251104,44.83,44.22,1212945.72,5244646.658
600745.SH,20251103,44.22,45.0,838563.87,3752845.416
600745.SH,20251031,45.0,43.67,1008510.61,4553440.632
600745.SH,20251030,43.67,45.46,1100555.53,4869948.226
600745.SH,20251029,45.46,44.61,1276866.6,5803451.361
600745.SH,20251028,44.61,44.54,1670717.69,7463728.844
600745.SH,20251027,44.54,41.01,2174652.89,9589490.089
600745.SH,20251024,41.01,40.99,1159001.57,4734095.753
600745.SH,20251023,40.99,40.36,1426660.83,5759351.272
600745.SH,20251022,40.36,41.71,1694272.55,7002804.626
600745.SH,20251021,41.71,37.92,1744293.21,7030598.53
600745.SH,20251020,37.92,38.5,1483881.29,5647196.051
600745.SH,20251017,38.5,36.92,1666301.56,6417753.249
600745.SH,20251016,36.92,38.19,1652579.16,6110153.402
600745.SH,20251015,38.19,37.65,2554416.97,9319901.968
600745.SH,20251014,37.65,41.83,98543.0,371014.395
600745.SH,20251013,41.83,41.83,40839.0,170829.537
600745.SH,20251010,41.83,41.83,0.0,0.0
600745.SH,20251009,41.83,46.48,0.0,0.0
600745.SH,20250930,46.48,48.16,735405.33,3474868.54
600745.SH,20250929,48.16,48.2,310716.57,1495312.491
600745.SH,20250926,48.2,49.4,397817.83,1957390.328
600745.SH,20250925,49.4,48.72,520620.93,2591959.005
600745.SH,20250924,48.72,48.28,469722.54,2272360.211
600745.SH,20250923,48.28,48.96,565150.96,2730649.263
600745.SH,20250922,48.96,47.1,580484.41,2825075.788
600745.SH,20250919,47.1,49.32,631202.3,3000891.856
600745.SH,20250918,49.32,45.0,1200804.11,5808173.193
600745.SH,20250917,45.0,43.32,459930.48,2044424.841
600745.SH,20250916,43.32,43.53,289428.46,1253305.385
600745.SH,20250915,43.53,42.24,554302.06,2415034.743
600745.SH,20250912,42.24,42.66,303011.43,1290684.692
600745.SH,20250911,42.66,41.82,306477.25,1297870.099
600745.SH,20250910,41.82,41.95,243638.88,1013190.863
600745.SH,20250909,41.95,42.48,251550.71,1060844.711
600745.SH,20250908,42.48,41.44,379209.51,1600834.321
600745.SH,20250905,41.44,39.3,376114.05,1521384.974
600745.SH,20250904,39.3,40.8,399695.37,1593025.595
600745.SH,20250903,40.8,41.65,288101.02,1187330.721
600745.SH,20250902,41.65,42.83,455012.81,1901043.804
600745.SH,20250901,42.83,43.43,552073.3,2400340.145
600745.SH,20250829,43.43,42.91,486931.49,2088135.556
600745.SH,20250828,42.91,42.49,546911.15,2318686.885
600745.SH,20250827,42.49,42.96,564345.53,2427333.065
