ts_code,trade_date,close,pre_close,vol,amount
300442.SZ,20260213,,,0.0,0.0
300442.SZ,20260212,,,0.0,0.0
300442.SZ,20260211,,,0.0,0.0
300442.SZ,20260210,,,0.0,0.0
300442.SZ,20260209,,,0.0,0.0
300442.SZ,20260206,,76.5,0.0,0.0
300442.SZ,20260205,76.5,82.18,564802.0,4376831.488
300442.SZ,20260204,82.18,88.4,751678.18,6261269.741
300442.SZ,20260203,88.4,84.66,907162.24,7771333.108
300442.SZ,20260202,84.66,81.83,910827.96,7737678.608
300442.SZ,20260130,81.83,80.01,664341.58,5407635.926
300442.SZ,20260129,80.01,80.85,861049.39,7017263.658
300442.SZ,20260128,80.85,81.37,830842.69,6853877.425
300442.SZ,20260127,81.37,83.25,714391.55,5827829.486
300442.SZ,20260126,83.25,78.32,984569.72,8143734.404
300442.SZ,20260123,78.32,78.04,715910.54,5643233.197
300442.SZ,20260122,78.04,74.8,790286.13,6125838.77
300442.SZ,20260121,74.8,75.41,525941.63,3951084.888
300442.SZ,20260120,75.41,76.21000000000001,566817.45,4319185.025
300442.SZ,20260119,76.21000000000001,79.17,702862.35,5463266.81
300442.SZ,20260116,79.17,81.03,827232.64,6695303.031
300442.SZ,20260115,81.03,90.71,1062317.18,8840218.599
300442.SZ,20260114,90.71,80.56,1271720.21,10986925.25
300442.SZ,20260113,80.56,83.04,1190134.76,9779265.406
300442.SZ,20260112,83.04,69.2,1243631.59,9496293.63
300442.SZ,20260109,69.2,59.81,1139069.43,7659687.273
300442.SZ,20260108,59.81,60.58,616672.07,3707200.243
300442.SZ,20260107,60.58,57.63,850941.94,5069885.601
300442.SZ,20260106,57.63,55.99,637065.17,3581802.048
300442.SZ,20260105,55.99,52.8,671472.78,3730588.198
300442.SZ,20251231,52.8,51.42,401725.74,2112815.707
300442.SZ,20251230,51.42,50.49,294068.48,1510017.151
300442.SZ,20251229,50.49,50.07,231521.41,1177469.101
300442.SZ,20251226,50.07,50.65,197249.99,991084.914
300442.SZ,20251225,50.65,50.53,179094.95,902473.828
300442.SZ,20251224,50.53,50.43,192999.47,975529.356
300442.SZ,20251223,50.43,50.15,210270.64,1064829.914
300442.SZ,20251222,50.15,49.79,180782.34,906470.567
300442.SZ,20251219,49.79,50.12,219089.98,1097716.394
300442.SZ,20251218,50.12,53.0,332644.48,1699439.949
300442.SZ,20251217,53.0,51.53,274034.11,1428598.363
300442.SZ,20251216,51.53,53.03,220512.05,1150521.39
300442.SZ,20251215,53.03,53.41,333555.48,1780548.789
300442.SZ,20251212,53.41,49.96,737042.74,3874283.107
300442.SZ,20251211,49.96,50.85,222235.86,1119774.992
300442.SZ,20251210,50.85,50.2,321399.04,1619225.71
300442.SZ,20251209,50.2,49.15,598991.42,3120710.63
300442.SZ,20251208,49.15,48.01,227671.85,1105860.661
300442.SZ,20251205,48.01,48.5,135936.06,653566.531
300442.SZ,20251204,48.5,48.5,150782.67,729906.381
300442.SZ,20251203,48.5,50.1,201632.95,986455.598
300442.SZ,20251202,50.1,50.71,326990.61,1659965.127
300442.SZ,20251201,50.71,47.72,491346.73,2470397.425
300442.SZ,20251128,47.72,47.86,113429.14,542377.343
300442.SZ,20251127,47.86,48.52,147916.55,714085.165
300442.SZ,20251126,48.52,47.76,203578.95,990701.037
300442.SZ,20251125,47.76,47.4,162301.47,778838.494
300442.SZ,20251124,47.4,45.64,180050.22,842359.303
300442.SZ,20251121,45.64,46.449999999999996,142073.41,653010.611
300442.SZ,20251120,46.449999999999996,46.93,91307.71,427048.836
300442.SZ,20251119,46.93,47.88,121172.2,571006.156
300442.SZ,20251118,47.88,47.4,147223.01,705182.038
300442.SZ,20251117,47.4,46.65,132525.49,625720.285
300442.SZ,20251114,46.65,48.48,159187.44,751299.777
300442.SZ,20251113,48.48,47.2,162700.85,774557.185
300442.SZ,20251112,47.2,47.62,146189.5,686645.123
300442.SZ,20251111,47.62,48.84,168958.89,812897.332
300442.SZ,20251110,48.84,49.38,160758.36,786353.551
300442.SZ,20251107,49.38,50.36,175835.73,876320.581
300442.SZ,20251106,50.36,50.17,201718.86,1015243.021
300442.SZ,20251105,50.17,50.62,189345.97,945320.803
300442.SZ,20251104,50.62,52.18,265256.37,1345351.592
300442.SZ,20251103,52.18,50.53,421056.63,2180811.878
300442.SZ,20251031,50.53,49.83,437979.87,2183832.928
300442.SZ,20251030,49.83,47.1,648539.96,3273981.046
300442.SZ,20251029,47.1,47.22,140839.02,661756.794
300442.SZ,20251028,47.22,46.73,174451.15,819888.151
300442.SZ,20251027,46.73,46.68,162375.71,760709.081
300442.SZ,20251024,46.68,46.07,143653.61,668086.278
300442.SZ,20251023,46.07,45.94,146468.54,665069.694
300442.SZ,20251022,45.94,45.93,104690.68,481093.586
300442.SZ,20251021,45.93,45.83,132524.0,610284.245
300442.SZ,20251020,45.83,45.45,119546.22,549504.901
300442.SZ,20251017,45.45,47.21,185227.22,853986.012
300442.SZ,20251016,47.21,48.14,164603.56,776610.954
300442.SZ,20251015,48.14,48.0,200673.29,949406.694
300442.SZ,20251014,48.0,49.93,213989.43,1042450.9
300442.SZ,20251013,49.93,50.25,222680.93,1092676.413
300442.SZ,20251010,50.25,54.28,495870.51,2488160.72
300442.SZ,20251009,54.28,53.35,317295.57,1715583.009
300442.SZ,20250930,53.35,53.1,249223.85,1344108.838
300442.SZ,20250929,53.1,52.85,204427.79,1082803.683
300442.SZ,20250926,52.85,55.92,383409.11,2068798.584
300442.SZ,20250925,55.92,53.818702965685006,541560.22,3046717.956
300442.SZ,20250924,53.818702965685006,52.17098907924021,328826.66,1756566.3
300442.SZ,20250923,52.17098907924021,53.05440194606905,276152.25,1448374.383
300442.SZ,20250922,53.05440194606905,51.98239532115314,246857.53,1313481.626
300442.SZ,20250919,51.98239532115314,53.02462398426582,267227.03,1412169.407
300442.SZ,20250918,53.02462398426582,53.99737073650432,436550.93,2391124.406
300442.SZ,20250917,53.99737073650432,54.42418818901714,278605.99,1506474.956
300442.SZ,20250916,54.42418818901714,52.80625226437555,378748.37,2056214.262
300442.SZ,20250915,52.80625226437555,54.05692666011076,321192.72,1706692.274
300442.SZ,20250912,54.05692666011076,52.75662232803685,532547.1,2970830.272
300442.SZ,20250911,52.75662232803685,51.535725894104864,378285.45,1983938.224
300442.SZ,20250910,51.535725894104864,51.039426530717876,262065.97,1363768.279
300442.SZ,20250909,51.039426530717876,52.74669634076911,261200.48,1342233.035
300442.SZ,20250908,52.74669634076911,53.034549971533565,289160.42,1533185.143
300442.SZ,20250905,53.034549971533565,49.590232389627865,379704.74,1953273.99
300442.SZ,20250904,49.590232389627865,51.86328347394027,329941.21,1671763.144
300442.SZ,20250903,51.86328347394027,53.104031882407746,253171.47,1332380.744
300442.SZ,20250902,53.104031882407746,57.75931991097769,619196.89,3366818.55
300442.SZ,20250901,57.75931991097769,58.53354691786139,411056.25,2448558.847
300442.SZ,20250829,58.53354691786139,60.84630195124476,524348.66,3042097.238
300442.SZ,20250828,60.84630195124476,59.83385124993531,405765.1,2434339.437
300442.SZ,20250827,59.83385124993531,59.516219657367635,434769.12,2682756.873
300442.SZ,20250826,59.516219657367635,60.15148284250298,323926.23,1948622.264
300442.SZ,20250825,60.15148284250298,58.89088245950003,477040.32,2928222.079
300442.SZ,20250822,58.89088245950003,55.813826406500695,487596.48,2874873.616
300442.SZ,20250821,55.813826406500695,56.34982971895865,306128.17,1750550.12
300442.SZ,20250820,56.34982971895865,55.54582475027173,295325.82,1642066.477
300442.SZ,20250819,55.54582475027173,56.42923761710056,315432.49,1775397.56
300442.SZ,20250818,56.42923761710056,52.03202525749185,498287.28,2767135.893
300442.SZ,20250815,52.03202525749185,50.10638372755033,330049.41,1720081.087
300442.SZ,20250814,50.10638372755033,50.83098079809534,281996.03,1442247.1
300442.SZ,20250813,50.83098079809534,50.503423218259925,303947.59,1559342.139
300442.SZ,20250812,50.503423218259925,49.62001035143109,255362.74,1288354.878
300442.SZ,20250811,49.62001035143109,48.061630350395944,262178.19,1300526.997
300442.SZ,20250808,48.061630350395944,47.82340665597019,260036.56,1263676.444
300442.SZ,20250807,47.82340665597019,47.833332643237924,200315.23,956911.314
300442.SZ,20250806,47.833332643237924,47.317181305315465,209135.73,1003453.565
300442.SZ,20250805,47.317181305315465,48.49837379017649,217108.26,1037670.272
300442.SZ,20250804,48.49837379017649,47.82340665597019,224985.31,1078336.692
300442.SZ,20250801,47.82340665597019,49.42149060607629,276522.91,1338254.288
300442.SZ,20250731,49.42149060607629,48.667115573728076,314162.76,1584313.705
300442.SZ,20250730,48.667115573728076,50.77142487448889,218745.02,1088236.977
300442.SZ,20250729,50.77142487448889,50.195717612959996,271942.17,1371759.131
300442.SZ,20250728,50.195717612959996,51.12876041612753,163394.05,825356.81
300442.SZ,20250725,51.12876041612753,50.29497748563739,196274.56,999974.437
300442.SZ,20250724,50.29497748563739,50.60268309093732,218172.44,1106923.195
300442.SZ,20250723,50.60268309093732,49.28252678432793,239441.39,1205462.484
300442.SZ,20250722,49.28252678432793,50.61260907820507,270770.46,1360508.735
300442.SZ,20250721,50.61260907820507,52.319878888256305,278489.15,1426314.645
300442.SZ,20250718,52.319878888256305,52.03323068164174,306253.91,1628127.148
300442.SZ,20250717,52.03323068164174,52.31047720097304,289080.41,1522595.694
300442.SZ,20250716,52.31047720097304,52.44910046063868,546565.37,2937164.905
300442.SZ,20250715,52.44910046063868,47.904237875886345,665330.63,3437964.752
300442.SZ,20250714,47.904237875886345,46.567513586253305,266460.61,1289175.254
300442.SZ,20250711,46.567513586253305,46.220955437089174,168840.26,793637.823
300442.SZ,20250710,46.220955437089174,47.1220066249159,199997.52,933204.942
300442.SZ,20250709,47.1220066249159,48.21118937943171,280898.47,1351358.588
300442.SZ,20250708,48.21118937943171,47.914139537291035,210754.47,1021289.387
300442.SZ,20250707,47.914139537291035,48.557747528595826,197940.88,964136.779
300442.SZ,20250704,48.557747528595826,46.844760105584605,469534.53,2354661.322
300442.SZ,20250703,46.844760105584605,45.86449562652037,179017.24,841930.083
300442.SZ,20250702,45.86449562652037,47.16161327053465,187873.53,871904.929
300442.SZ,20250701,47.16161327053465,49.0429289374256,272193.53,1306995.22
300442.SZ,20250630,49.0429289374256,47.874532891672274,314833.41,1557715.985
300442.SZ,20250627,47.874532891672274,47.47846643548471,288872.68,1393181.855
300442.SZ,20250626,47.47846643548471,47.607188033745665,345944.51,1672818.192
300442.SZ,20250625,47.607188033745665,45.54764246157031,500343.59,2401575.838
300442.SZ,20250624,45.54764246157031,42.9930138191605,397975.27,1802914.598
300442.SZ,20250623,42.9930138191605,43.537605196418404,200721.68,866478.128
300442.SZ,20250620,43.537605196418404,42.96330883494644,260275.32,1141364.58
300442.SZ,20250619,42.96330883494644,43.71583510170281,190284.29,838934.407
300442.SZ,20250618,43.71583510170281,42.497930748926045,285927.92,1258372.915
