ts_code,trade_date,close,pre_close,vol,amount
688561.SH,20260227,35.75,35.09,141576.21,509414.137
688561.SH,20260226,35.09,35.08,86461.27,302247.671
688561.SH,20260225,35.08,35.54,117720.17,415956.37
688561.SH,20260224,35.54,39.5,224105.54,814134.894
688561.SH,20260213,39.5,37.86,205748.4,815977.238
688561.SH,20260212,37.86,37.58,100759.04,379237.927
688561.SH,20260211,37.58,36.39,140579.82,529952.059
688561.SH,20260210,36.39,35.59,98604.88,357000.81
688561.SH,20260209,35.59,34.56,87410.7,308253.241
688561.SH,20260206,34.56,34.56,70823.78,245664.361
688561.SH,20260205,34.56,35.06,62963.48,218133.221
688561.SH,20260204,35.06,35.76,83285.21,292037.08
688561.SH,20260203,35.76,35.45,86196.48,306364.218
688561.SH,20260202,35.45,37.18,112717.88,407738.147
688561.SH,20260130,37.18,38.42,111265.62,416165.88
688561.SH,20260129,38.42,38.52,113536.43,443691.389
688561.SH,20260128,38.52,39.0,83172.99,323721.263
688561.SH,20260127,39.0,38.68,88250.66,339362.651
688561.SH,20260126,38.68,39.6,127515.91,494369.011
688561.SH,20260123,39.6,39.3,80441.15,317394.085
688561.SH,20260122,39.3,37.58,128806.2,502083.155
688561.SH,20260121,37.58,37.7,75300.79,284927.591
688561.SH,20260120,37.7,38.56,95445.08,361193.514
688561.SH,20260119,38.56,40.0,124099.63,484409.884
688561.SH,20260116,40.0,40.98,194406.72,778177.807
688561.SH,20260115,40.98,40.95,278427.1,1181751.907
688561.SH,20260114,40.95,39.99,194842.13,801101.652
688561.SH,20260113,39.99,41.1,166974.57,678754.742
688561.SH,20260112,41.1,38.55,188986.04,758224.472
688561.SH,20260109,38.55,37.35,100835.76,383922.586
688561.SH,20260108,37.35,37.22,75775.11,284113.638
688561.SH,20260107,37.22,37.37,62996.78,234054.215
688561.SH,20260106,37.37,36.69,90103.78,334661.3
688561.SH,20260105,36.69,35.58,77196.78,281274.624
688561.SH,20251231,35.58,35.3,49137.84,174683.709
688561.SH,20251230,35.3,35.62,48166.67,171180.312
688561.SH,20251229,35.62,35.9,56744.86,202108.859
688561.SH,20251226,35.9,35.1,92717.84,334283.31
688561.SH,20251225,35.1,34.96,56804.48,198287.405
688561.SH,20251224,34.96,35.3,60237.47,210610.924
688561.SH,20251223,35.3,34.56,130870.32,463810.906
688561.SH,20251222,34.56,34.69,36799.91,127842.595
688561.SH,20251219,34.69,34.88,41848.17,145854.701
688561.SH,20251218,34.88,34.79,34610.26,120736.224
688561.SH,20251217,34.79,34.39,41435.92,142782.839
688561.SH,20251216,34.39,35.01,37564.03,129843.164
688561.SH,20251215,35.01,35.72,46972.88,165080.137
688561.SH,20251212,35.72,34.55,86146.26,300918.127
688561.SH,20251211,34.55,35.24,44414.53,154501.742
688561.SH,20251210,35.24,35.47,45645.4,160015.473
688561.SH,20251209,35.47,35.88,37088.43,132336.884
688561.SH,20251208,35.88,35.73,43142.32,155697.634
688561.SH,20251205,35.73,35.27,40563.52,143469.286
688561.SH,20251204,35.27,35.48,36482.86,128795.745
688561.SH,20251203,35.48,36.38,50402.36,179839.193
688561.SH,20251202,36.38,36.61,46344.21,168369.507
688561.SH,20251201,36.61,37.52,87592.9,322141.618
688561.SH,20251128,37.52,36.04,80319.74,296481.945
688561.SH,20251127,36.04,36.75,53522.15,194836.597
688561.SH,20251126,36.75,37.29,50065.82,185744.084
688561.SH,20251125,37.29,36.77,73505.63,275984.289
688561.SH,20251124,36.77,35.85,67726.78,246006.761
688561.SH,20251121,35.85,37.0,76381.55,276338.267
688561.SH,20251120,37.0,37.41,52750.8,195545.259
688561.SH,20251119,37.41,38.23,61051.02,229731.26
688561.SH,20251118,38.23,38.41,70927.88,272121.046
688561.SH,20251117,38.41,37.74,70226.45,268115.818
688561.SH,20251114,37.74,38.35,51846.16,196713.002
688561.SH,20251113,38.35,37.95,74091.77,286127.135
688561.SH,20251112,37.95,38.25,68078.98,256996.819
688561.SH,20251111,38.25,38.92,98415.55,381524.474
688561.SH,20251110,38.92,38.96,88782.79,345541.864
688561.SH,20251107,38.96,40.1,98081.86,385166.4
688561.SH,20251106,40.1,39.32,140923.64,565002.425
688561.SH,20251105,39.32,39.66,112579.2,447262.031
688561.SH,20251104,39.66,39.68,129651.77,511807.01
688561.SH,20251103,39.68,39.05,166626.85,658632.174
688561.SH,20251031,39.05,36.51,260339.45,1021296.874
688561.SH,20251030,36.51,35.12,160570.61,585181.889
688561.SH,20251029,35.12,34.95,48389.95,169659.386
688561.SH,20251028,34.95,34.88,56702.71,199074.584
688561.SH,20251027,34.88,34.46,68317.75,237303.961
688561.SH,20251024,34.46,34.0,55664.65,191439.326
688561.SH,20251023,34.0,33.58,50190.34,168087.5
688561.SH,20251022,33.58,33.91,36428.84,122595.617
688561.SH,20251021,33.91,33.99,52697.7,178796.645
688561.SH,20251020,33.99,32.96,80325.22,274981.091
688561.SH,20251017,32.96,34.28,77111.48,258195.932
688561.SH,20251016,34.28,34.82,47928.63,164589.974
688561.SH,20251015,34.82,34.29,65125.26,226907.897
688561.SH,20251014,34.29,35.42,87766.52,306355.661
688561.SH,20251013,35.42,35.11,93709.03,331285.275
688561.SH,20251010,35.11,36.64,101347.32,360614.398
688561.SH,20251009,36.64,36.06,103273.81,377267.528
688561.SH,20250930,36.06,35.25,86020.09,310367.001
688561.SH,20250929,35.25,35.05,63561.8,222692.555
688561.SH,20250926,35.05,36.21,79749.24,283332.365
688561.SH,20250925,36.21,36.3,101519.93,370926.454
688561.SH,20250924,36.3,34.71,119928.97,427910.821
688561.SH,20250923,34.71,35.69,113166.54,391235.75
688561.SH,20250922,35.69,35.8,70828.36,252442.752
688561.SH,20250919,35.8,35.75,91921.87,329504.127
688561.SH,20250918,35.75,36.3,150427.14,550493.709
688561.SH,20250917,36.3,36.37,94719.7,343106.75
688561.SH,20250916,36.37,36.14,87083.7,316395.554
688561.SH,20250915,36.14,37.46,157348.88,572096.88
688561.SH,20250912,37.46,37.98,195770.99,737818.053
688561.SH,20250911,37.98,37.12,121987.48,460073.464
688561.SH,20250910,37.12,37.44,76030.54,285847.486
688561.SH,20250909,37.44,38.49,78987.82,298783.254
688561.SH,20250908,38.49,37.73,108638.9,417548.68
688561.SH,20250905,37.73,37.13,100310.02,374357.376
688561.SH,20250904,37.13,37.3,111666.14,417458.559
688561.SH,20250903,37.3,39.14,121639.15,463556.779
688561.SH,20250902,39.14,38.63,210511.26,826854.464
688561.SH,20250901,38.63,39.98,185722.58,725319.192
688561.SH,20250829,39.98,43.52,239586.57,973433.345
688561.SH,20250828,43.52,36.88,318460.64,1270162.027
688561.SH,20250827,36.88,36.77,168743.63,633733.444
688561.SH,20250826,36.77,36.95,92785.05,343613.407
688561.SH,20250825,36.95,37.33,157670.22,586080.457
688561.SH,20250822,37.33,35.44,177153.94,648040.919
688561.SH,20250821,35.44,35.0,110419.33,393525.59
688561.SH,20250820,35.0,34.72,84692.22,291549.503
688561.SH,20250819,34.72,35.08,75419.03,264192.828
688561.SH,20250818,35.08,34.33,96306.09,338972.329
688561.SH,20250815,34.33,33.84,59248.04,202660.525
688561.SH,20250814,33.84,34.91,90120.3,311688.162
688561.SH,20250813,34.91,34.92,70022.4,244836.643
688561.SH,20250812,34.92,35.6,64631.18,226565.104
688561.SH,20250811,35.6,35.05,44144.41,156770.069
688561.SH,20250808,35.05,35.83,59785.77,210936.222
688561.SH,20250807,35.83,36.38,59156.95,212987.392
688561.SH,20250806,36.38,35.99,51521.87,187440.659
688561.SH,20250805,35.99,36.72,62750.23,226967.952
688561.SH,20250804,36.72,36.79,85936.84,314354.019
688561.SH,20250801,36.79,36.06,117602.17,427011.104
688561.SH,20250731,36.06,34.77,138267.46,498297.551
688561.SH,20250730,34.77,35.48,62386.03,219644.016
688561.SH,20250729,35.48,34.48,81257.09,284045.455
688561.SH,20250728,34.48,34.73,54504.37,188271.168
688561.SH,20250725,34.73,34.38,55738.13,192859.418
688561.SH,20250724,34.38,33.7,51271.46,174690.857
688561.SH,20250723,33.7,34.0,57382.69,194430.311
688561.SH,20250722,34.0,33.95,40301.37,136850.822
688561.SH,20250721,33.95,34.17,50120.53,170577.129
688561.SH,20250718,34.17,34.12,51317.96,176072.534
688561.SH,20250717,34.12,33.99,45500.09,154729.112
688561.SH,20250716,33.99,33.94,46529.91,158742.018
688561.SH,20250715,33.94,33.67,52161.44,175265.169
688561.SH,20250714,33.67,33.79,40094.19,135770.767
688561.SH,20250711,33.79,32.97,58243.96,195706.063
688561.SH,20250710,32.97,32.9,28148.0,92775.89
688561.SH,20250709,32.9,33.09,34030.55,112313.319
688561.SH,20250708,33.09,32.62,36909.98,121583.394
688561.SH,20250707,32.62,32.9,32788.67,107462.265
688561.SH,20250704,32.9,33.23,37955.59,125772.102
688561.SH,20250703,33.23,33.21,26927.79,89822.995
688561.SH,20250702,33.21,33.48,33073.24,109696.164
688561.SH,20250701,33.48,33.98,49803.48,167494.053
688561.SH,20250630,33.98,33.34,51713.71,175846.25
688561.SH,20250627,33.34,33.81,58732.31,198206.221
688561.SH,20250626,33.81,33.4,91651.1,311838.182
688561.SH,20250625,33.4,33.1,61666.01,204726.632
688561.SH,20250624,33.1,32.52,57752.25,190209.522
688561.SH,20250623,32.52,31.48,47245.1,151451.344
688561.SH,20250620,31.48,31.78,36690.69,115483.838
688561.SH,20250619,31.78,32.44,48001.65,155242.081
688561.SH,20250618,32.44,32.18,39425.61,127590.715
688561.SH,20250617,32.18,32.64,50181.19,162138.202
688561.SH,20250616,32.64,32.78,68648.86,225587.646
688561.SH,20250613,32.78,31.75,169912.67,554748.176
688561.SH,20250612,31.75,31.04,72647.8,228902.034
688561.SH,20250611,31.04,30.86,40856.34,126779.761
688561.SH,20250610,30.86,32.12,67676.45,210682.668
688561.SH,20250609,32.12,32.33,45890.99,147621.009
688561.SH,20250606,32.33,32.01,59089.99,190363.414
688561.SH,20250605,32.01,31.62,45713.28,145624.502
688561.SH,20250604,31.62,31.56,47454.46,150682.43
688561.SH,20250603,31.56,30.16,103442.94,329562.368
688561.SH,20250530,30.16,30.59,38384.09,115986.422
688561.SH,20250529,30.59,29.06,57048.38,171079.146
688561.SH,20250528,29.06,29.55,41361.63,120800.135
688561.SH,20250527,29.55,29.81,34056.02,100650.928
688561.SH,20250526,29.81,29.62,34392.58,102450.175
688561.SH,20250523,29.62,30.09,40018.98,119825.712
688561.SH,20250522,30.09,30.37,28877.57,87118.232
688561.SH,20250521,30.37,30.66,27960.01,85156.15
688561.SH,20250520,30.66,30.47,34224.82,104376.524
688561.SH,20250519,30.47,30.72,36430.03,110424.798
688561.SH,20250516,30.72,30.8,31607.85,97816.137
688561.SH,20250515,30.8,31.89,46882.41,145584.58
688561.SH,20250514,31.89,31.95,49068.4,156405.541
688561.SH,20250513,31.95,31.84,61666.15,197165.053
688561.SH,20250512,31.84,30.8,53628.49,169726.365
688561.SH,20250509,30.8,31.82,50719.25,157676.705
688561.SH,20250508,31.82,31.45,45117.61,143166.922
688561.SH,20250507,31.45,32.04,82391.9,261850.545
688561.SH,20250506,32.04,30.75,85270.49,270810.506
688561.SH,20250430,30.75,29.63,80033.4,246217.097
688561.SH,20250429,29.63,30.3,69751.19,208707.355
688561.SH,20250428,30.3,30.02,88341.06,267700.903
688561.SH,20250425,30.02,28.86,80401.6,239356.098
688561.SH,20250424,28.86,29.51,43996.33,127741.526
688561.SH,20250423,29.51,29.22,51370.06,152393.242
688561.SH,20250422,29.22,29.61,57192.82,167285.354
688561.SH,20250421,29.61,29.38,67028.36,198676.001
688561.SH,20250418,29.38,29.69,50853.24,148843.751
688561.SH,20250417,29.69,30.04,53345.29,160599.322
688561.SH,20250416,30.04,30.56,49180.54,147731.538
688561.SH,20250415,30.56,30.77,54332.74,165183.048
688561.SH,20250414,30.77,30.81,53125.57,165006.008
688561.SH,20250411,30.81,30.5,61141.28,188664.542
688561.SH,20250410,30.5,30.13,74432.28,229752.487
688561.SH,20250409,30.13,29.3,109494.94,326403.405
688561.SH,20250408,29.3,28.1,102609.39,299520.926
688561.SH,20250407,28.1,33.54,126869.65,377303.079
688561.SH,20250403,33.54,33.74,36890.78,124472.395
688561.SH,20250402,33.74,33.48,38803.58,131183.589
688561.SH,20250401,33.48,34.23,64867.44,219437.144
688561.SH,20250331,34.23,34.34,48477.17,164574.458
688561.SH,20250328,34.34,34.54,42486.63,146990.001
688561.SH,20250327,34.54,34.25,60446.16,209267.559
688561.SH,20250326,34.25,34.5,39932.06,137612.906
688561.SH,20250325,34.5,34.79,45085.8,156531.13
688561.SH,20250324,34.79,35.36,74289.35,258355.679
688561.SH,20250321,35.36,36.72,82156.23,295712.231
688561.SH,20250320,36.72,36.55,75626.09,280400.146
688561.SH,20250319,36.55,37.12,63072.38,231469.341
688561.SH,20250318,37.12,36.56,102411.56,382421.93
688561.SH,20250317,36.56,36.85,63123.23,231534.904
688561.SH,20250314,36.85,36.22,81738.83,298872.286
688561.SH,20250313,36.22,37.5,128503.0,467839.759
688561.SH,20250312,37.5,38.03,87994.13,334317.408
688561.SH,20250311,38.03,38.67,125113.55,472997.746
688561.SH,20250310,38.67,39.64,124341.63,478871.583
688561.SH,20250307,39.64,40.95,143499.46,576173.174
688561.SH,20250306,40.95,39.85,205549.1,847645.504
688561.SH,20250305,39.85,39.67,106382.04,420869.98
688561.SH,20250304,39.67,38.91,121752.36,485975.063
688561.SH,20250303,38.91,38.38,119389.67,465646.086
688561.SH,20250228,38.38,40.35,149379.27,586561.945
688561.SH,20250227,40.35,41.5,165645.5,677207.054
688561.SH,20250226,41.5,41.67,141431.79,587689.552
688561.SH,20250225,41.67,42.03,157523.66,662260.733
688561.SH,20250224,42.03,43.34,249530.98,1035512.882
688561.SH,20250221,43.34,43.05,234061.59,1005881.616
688561.SH,20250220,43.05,45.99,238981.57,1052524.274
688561.SH,20250219,45.99,42.6,341138.53,1512017.448
688561.SH,20250218,42.6,40.26,369843.52,1585166.096
688561.SH,20250217,40.26,38.4,281202.1,1096845.123
688561.SH,20250214,38.4,34.37,276623.56,1020838.265
688561.SH,20250213,34.37,33.92,175644.91,599368.33
688561.SH,20250212,33.92,33.65,140452.64,477358.648
688561.SH,20250211,33.65,36.26,211797.42,736081.719
688561.SH,20250210,36.26,32.83,244747.82,847817.421
688561.SH,20250207,32.83,31.52,248963.85,808664.302
688561.SH,20250206,31.52,28.16,238816.41,715083.674
688561.SH,20250205,28.16,25.04,168491.06,473668.387
688561.SH,20250127,25.04,25.36,40524.78,102389.448
688561.SH,20250124,25.36,24.18,53829.13,134204.231
688561.SH,20250123,24.18,23.96,46218.25,113441.269
688561.SH,20250122,23.96,24.04,31035.25,73844.33
688561.SH,20250121,24.04,23.93,41341.6,99025.611
688561.SH,20250120,23.93,24.71,72133.53,171599.472
688561.SH,20250117,24.71,24.48,39566.26,97435.404
688561.SH,20250116,24.48,24.41,52811.56,130524.337
688561.SH,20250115,24.41,24.82,43673.5,106804.355
688561.SH,20250114,24.82,23.89,45752.68,112256.421
688561.SH,20250113,23.89,23.5,38546.42,91531.042
688561.SH,20250110,23.5,24.0,34927.15,83358.294
688561.SH,20250109,24.0,23.91,37119.24,89304.497
688561.SH,20250108,23.91,24.24,52178.84,124484.233
688561.SH,20250107,24.24,24.46,51408.68,124276.906
688561.SH,20250106,24.46,24.58,39875.66,97926.225
688561.SH,20250103,24.58,25.62,73746.82,184622.506
688561.SH,20250102,25.62,26.83,65134.06,169569.099
688561.SH,20241231,26.83,28.26,63582.41,174450.507
688561.SH,20241230,28.26,28.4,39701.14,112233.716
688561.SH,20241227,28.4,28.68,43837.37,125678.354
688561.SH,20241226,28.68,28.28,35827.73,102692.127
688561.SH,20241225,28.28,29.25,53643.54,152720.864
688561.SH,20241224,29.25,29.23,33191.93,96808.127
688561.SH,20241223,29.23,30.35,44843.02,132969.684
688561.SH,20241220,30.35,30.35,48203.26,146354.152
688561.SH,20241219,30.35,29.94,46459.19,140202.962
688561.SH,20241218,29.94,29.73,35424.08,106235.148
688561.SH,20241217,29.73,30.17,39365.06,117491.99
688561.SH,20241216,30.17,30.91,44924.88,135806.218
688561.SH,20241213,30.91,31.86,68040.96,211803.444
688561.SH,20241212,31.86,31.78,59420.76,190475.309
688561.SH,20241211,31.78,31.67,49592.76,157363.297
688561.SH,20241210,31.67,30.79,79781.5,255808.124
688561.SH,20241209,30.79,31.4,43843.31,135537.781
688561.SH,20241206,31.4,30.77,57820.25,180879.933
688561.SH,20241205,30.77,29.61,68963.02,211080.673
688561.SH,20241204,29.61,30.26,47505.45,142148.233
688561.SH,20241203,30.26,30.65,55185.27,166609.801
688561.SH,20241202,30.65,30.58,67672.37,207962.565
688561.SH,20241129,30.58,29.86,61174.03,185615.079
688561.SH,20241128,29.86,30.12,52731.15,159939.322
688561.SH,20241127,30.12,29.46,66029.2,194738.976
688561.SH,20241126,29.46,30.5,60907.43,182900.089
688561.SH,20241125,30.5,31.44,78066.35,237638.741
688561.SH,20241122,31.44,33.81,102374.98,337336.435
688561.SH,20241121,33.81,32.3,99110.07,329786.017
688561.SH,20241120,32.3,31.89,47379.07,152445.664
688561.SH,20241119,31.89,31.3,53242.91,167924.54
688561.SH,20241118,31.3,33.39,72552.08,231454.739
688561.SH,20241115,33.39,33.48,112076.7,382689.77
688561.SH,20241114,33.48,34.16,89003.23,300270.303
688561.SH,20241113,34.16,34.62,94849.69,322509.205
688561.SH,20241112,34.62,35.19,117599.92,414295.956
688561.SH,20241111,35.19,33.45,146970.32,516072.741
688561.SH,20241108,33.45,33.23,113929.64,387225.621
688561.SH,20241107,33.23,32.64,74333.62,243282.904
688561.SH,20241106,32.64,32.33,86949.04,287836.691
688561.SH,20241105,32.33,30.54,85091.76,270584.383
688561.SH,20241104,30.54,30.1,34181.87,103782.838
688561.SH,20241101,30.1,31.72,71453.63,218450.014
688561.SH,20241031,31.72,31.23,83157.91,261557.749
688561.SH,20241030,31.23,31.45,53792.52,167585.085
688561.SH,20241029,31.45,32.4,65568.31,209295.648
688561.SH,20241028,32.4,32.53,39603.51,128258.89
688561.SH,20241025,32.53,32.1,45161.11,146441.237
688561.SH,20241024,32.1,32.6,37462.07,120781.524
688561.SH,20241023,32.6,32.65,56507.05,186212.642
688561.SH,20241022,32.65,33.92,68022.44,224146.616
688561.SH,20241021,33.92,33.68,100740.44,343917.477
688561.SH,20241018,33.68,31.31,124634.55,405787.671
688561.SH,20241017,31.31,30.31,89317.75,284408.683
688561.SH,20241016,30.31,30.79,43605.87,133014.935
688561.SH,20241015,30.79,31.5,74257.08,235066.785
688561.SH,20241014,31.5,30.25,74164.42,228030.078
688561.SH,20241011,30.25,32.81,79694.19,248148.562
688561.SH,20241010,32.81,34.99,109250.79,374391.526
688561.SH,20241009,34.99,38.2,150950.13,552980.208
