ts_code,trade_date,close,pre_close,vol,amount
000690.SZ,20260213,4.34,4.48,657919.34,288372.252
000690.SZ,20260212,4.48,4.44,563604.68,252213.065
000690.SZ,20260211,4.44,4.4,316406.79,140270.091
000690.SZ,20260210,4.4,4.42,234028.57,103083.534
000690.SZ,20260209,4.42,4.39,284432.71,125686.169
000690.SZ,20260206,4.39,4.36,352356.25,154654.884
000690.SZ,20260205,4.36,4.4,316271.0,137942.766
000690.SZ,20260204,4.4,4.32,482401.76,210780.829
000690.SZ,20260203,4.32,4.34,527066.63,227999.069
000690.SZ,20260202,4.34,4.47,581138.3,256361.899
000690.SZ,20260130,4.47,4.45,544677.14,242540.067
000690.SZ,20260129,4.45,4.43,460700.35,204776.992
000690.SZ,20260128,4.43,4.43,519460.74,230643.624
000690.SZ,20260127,4.43,4.5,650001.0,286695.1
000690.SZ,20260126,4.5,4.51,492055.5,221593.82
000690.SZ,20260123,4.51,4.48,527812.57,238282.339
000690.SZ,20260122,4.48,4.48,380586.14,170681.666
000690.SZ,20260121,4.48,4.52,459517.16,205711.163
000690.SZ,20260120,4.52,4.44,694273.78,310696.52
000690.SZ,20260119,4.44,4.39,433030.77,191751.557
000690.SZ,20260116,4.39,4.41,431200.27,190447.884
000690.SZ,20260115,4.41,4.42,335683.78,147791.271
000690.SZ,20260114,4.42,4.46,675861.59,300588.609
000690.SZ,20260113,4.46,4.48,783271.63,349955.232
000690.SZ,20260112,4.48,4.31,1187683.3,527285.504
000690.SZ,20260109,4.31,4.29,344987.72,148251.182
000690.SZ,20260108,4.29,4.31,323306.37,138958.599
000690.SZ,20260107,4.31,4.3,391574.59,169402.485
000690.SZ,20260106,4.3,4.21,464329.88,198038.675
000690.SZ,20260105,4.21,4.19,379897.83,159743.22
000690.SZ,20251231,4.19,4.22,321687.27,134991.723
000690.SZ,20251230,4.22,4.32,634543.21,269553.408
000690.SZ,20251229,4.32,4.42,653801.12,284639.272
000690.SZ,20251226,4.42,4.39,322286.48,142247.29
000690.SZ,20251225,4.39,4.37,313580.72,137529.736
000690.SZ,20251224,4.37,4.35,225453.0,98177.502
000690.SZ,20251223,4.35,4.36,352388.74,154245.824
000690.SZ,20251222,4.36,4.38,216696.12,94728.136
000690.SZ,20251219,4.38,4.34,217261.12,94943.448
000690.SZ,20251218,4.34,4.32,187204.29,81164.535
000690.SZ,20251217,4.32,4.29,248517.31,106797.77
000690.SZ,20251216,4.29,4.37,391461.51,168293.763
000690.SZ,20251215,4.37,4.37,197075.22,86298.07
000690.SZ,20251212,4.37,4.34,420621.12,184349.476
000690.SZ,20251211,4.34,4.35,299603.01,130313.655
000690.SZ,20251210,4.35,4.33,255982.07,110849.135
000690.SZ,20251209,4.33,4.34,268634.81,116463.19
000690.SZ,20251208,4.34,4.36,273776.25,119262.476
000690.SZ,20251205,4.36,4.36,347801.87,151018.966
000690.SZ,20251204,4.36,4.39,247721.54,107683.069
000690.SZ,20251203,4.39,4.32,360694.58,157598.898
000690.SZ,20251202,4.32,4.38,378318.75,164022.685
000690.SZ,20251201,4.38,4.37,232147.29,101567.834
000690.SZ,20251128,4.37,4.37,219765.07,95820.322
000690.SZ,20251127,4.37,4.39,245526.86,107561.696
000690.SZ,20251126,4.39,4.37,342742.59,150183.075
000690.SZ,20251125,4.37,4.32,344558.26,150309.447
000690.SZ,20251124,4.32,4.36,517196.12,223658.426
000690.SZ,20251121,4.36,4.51,551122.0,243638.128
000690.SZ,20251120,4.51,4.52,291554.7,132029.504
000690.SZ,20251119,4.52,4.54,356014.51,161239.854
000690.SZ,20251118,4.54,4.62,520899.57,237107.956
000690.SZ,20251117,4.62,4.73,754262.79,348827.457
000690.SZ,20251114,4.73,4.86,773304.46,369398.002
000690.SZ,20251113,4.86,4.84,370921.06,179697.195
000690.SZ,20251112,4.84,4.87,322591.01,156548.449
000690.SZ,20251111,4.87,4.88,292698.41,142653.51
000690.SZ,20251110,4.88,4.85,395114.44,192406.447
000690.SZ,20251107,4.85,4.86,408902.54,198778.216
000690.SZ,20251106,4.86,4.79,570410.32,276946.591
000690.SZ,20251105,4.79,4.76,474012.12,226746.245
000690.SZ,20251104,4.76,4.77,376733.57,179499.309
000690.SZ,20251103,4.77,4.76,432770.82,205755.969
000690.SZ,20251031,4.76,4.87,744678.6,356458.15
000690.SZ,20251030,4.87,4.78,939753.96,454137.653
000690.SZ,20251029,4.78,4.81,638869.25,302656.1
000690.SZ,20251028,4.81,4.81,405628.99,194769.231
000690.SZ,20251027,4.81,4.76,482266.06,231861.262
000690.SZ,20251024,4.76,4.82,390013.32,185908.63
000690.SZ,20251023,4.82,4.77,341028.0,163491.621
000690.SZ,20251022,4.77,4.8,307407.0,146655.394
000690.SZ,20251021,4.8,4.71,464839.36,221891.193
000690.SZ,20251020,4.71,4.68,368920.79,174111.302
000690.SZ,20251017,4.68,4.73,346397.52,162761.983
000690.SZ,20251016,4.73,4.79,291745.83,138103.111
000690.SZ,20251015,4.79,4.77,416229.31,198823.175
000690.SZ,20251014,4.77,4.73,700301.76,335017.086
000690.SZ,20251013,4.73,4.75,520893.86,243474.113
000690.SZ,20251010,4.75,4.73,489266.75,231651.627
000690.SZ,20251009,4.73,4.62,548496.55,257549.28
000690.SZ,20250930,4.62,4.69,483067.2,222429.756
000690.SZ,20250929,4.69,4.67,397196.4,185284.192
000690.SZ,20250926,4.67,4.65,564441.0,263626.198
000690.SZ,20250925,4.65,4.54,881021.81,409517.286
000690.SZ,20250924,4.54,4.47,314223.25,141365.071
000690.SZ,20250923,4.47,4.46,320341.5,142043.63
000690.SZ,20250922,4.46,4.51,313422.75,139345.617
000690.SZ,20250919,4.51,4.49,294813.78,132406.847
000690.SZ,20250918,4.49,4.59,490653.01,222798.656
000690.SZ,20250917,4.59,4.590003782473738,496010.4,227448.936
000690.SZ,20250916,4.590003782473738,4.649357279660898,393426.03,182736.623
000690.SZ,20250915,4.649357279660898,4.6790340282544785,459468.5,216601.895
000690.SZ,20250912,4.6790340282544785,4.768064274035219,656463.46,313808.647
000690.SZ,20250911,4.768064274035219,4.698818527316865,416142.98,198950.228
000690.SZ,20250910,4.698818527316865,4.7186030263792516,379439.14,179348.674
000690.SZ,20250909,4.7186030263792516,4.688926277785672,399580.03,190745.005
000690.SZ,20250908,4.688926277785672,4.639465030129705,666820.26,317999.741
000690.SZ,20250905,4.639465030129705,4.599896032004931,287993.01,134115.177
000690.SZ,20250904,4.599896032004931,4.570219283411351,368744.33,171734.691
000690.SZ,20250903,4.570219283411351,4.580111532942544,312506.33,144697.458
