ts_code,trade_date,close,pre_close,vol,amount
000429.SZ,20260302,12.28,12.23,66577.71,81666.009
000429.SZ,20260227,12.23,12.03,48491.72,59148.78
000429.SZ,20260226,12.03,12.01,38881.4,46835.902
000429.SZ,20260225,12.01,12.01,44233.0,53386.858
000429.SZ,20260224,12.01,11.99,43059.68,51770.663
000429.SZ,20260213,11.99,12.16,53504.0,64612.115
000429.SZ,20260212,12.16,12.3,69604.44,84875.094
000429.SZ,20260211,12.3,12.37,32345.01,39872.875
000429.SZ,20260210,12.37,12.41,30837.42,38135.349
000429.SZ,20260209,12.41,12.21,62728.88,77481.051
000429.SZ,20260206,12.21,12.25,66821.89,81972.761
000429.SZ,20260205,12.25,12.23,63860.5,78400.625
000429.SZ,20260204,12.23,12.14,99700.0,122114.52
000429.SZ,20260203,12.14,12.01,80625.51,97659.205
000429.SZ,20260202,12.01,12.19,95257.92,115648.24
000429.SZ,20260130,12.19,12.19,108294.97,133054.527
000429.SZ,20260129,12.19,12.11,94389.95,114524.541
000429.SZ,20260128,12.11,11.98,88200.59,106371.941
000429.SZ,20260127,11.98,11.79,81210.16,96390.551
000429.SZ,20260126,11.79,11.75,73920.91,86574.668
000429.SZ,20260123,11.75,11.79,48585.74,57111.575
000429.SZ,20260122,11.79,11.68,51436.35,60298.121
000429.SZ,20260121,11.68,11.73,73096.89,85297.689
000429.SZ,20260120,11.73,11.44,114919.57,133423.349
000429.SZ,20260119,11.44,11.32,51629.78,58809.113
000429.SZ,20260116,11.32,11.27,56989.01,64306.444
000429.SZ,20260115,11.27,11.42,68382.06,77547.711
000429.SZ,20260114,11.42,11.49,63206.81,72479.431
000429.SZ,20260113,11.49,11.59,65697.64,75693.85
000429.SZ,20260112,11.59,11.48,65711.95,75911.185
000429.SZ,20260109,11.48,11.46,56451.36,64706.706
000429.SZ,20260108,11.46,11.52,67264.12,77243.278
000429.SZ,20260107,11.52,11.58,56041.97,64675.214
000429.SZ,20260106,11.58,11.6,70337.52,81542.374
000429.SZ,20260105,11.6,11.78,102824.59,119355.617
000429.SZ,20251231,11.78,11.97,90704.36,107641.77
000429.SZ,20251230,11.97,11.97,54501.86,65179.796
000429.SZ,20251229,11.97,12.19,75170.27,90432.855
000429.SZ,20251226,12.19,11.89,113182.64,136773.875
000429.SZ,20251225,11.89,11.8,38044.76,45169.744
000429.SZ,20251224,11.8,11.71,48103.34,56462.118
000429.SZ,20251223,11.71,11.72,53028.33,62241.973
000429.SZ,20251222,11.72,11.86,65523.0,76982.796
000429.SZ,20251219,11.86,11.99,83695.2,99658.682
000429.SZ,20251218,11.99,11.97,65478.32,78464.264
000429.SZ,20251217,11.97,12.12,81590.02,98571.511
000429.SZ,20251216,12.12,12.22,90463.34,110197.057
000429.SZ,20251215,12.22,12.09,148649.29,180715.374
000429.SZ,20251212,12.09,12.64,365140.48,448118.311
000429.SZ,20251211,12.64,12.57,170436.09,215910.141
000429.SZ,20251210,12.57,12.58,130487.42,164240.072
000429.SZ,20251209,12.58,12.54,85579.84,107806.939
000429.SZ,20251208,12.54,12.64,89373.46,111851.711
000429.SZ,20251205,12.64,12.61,102352.65,128946.671
000429.SZ,20251204,12.61,12.68,85210.91,108041.474
000429.SZ,20251203,12.68,12.55,108103.47,136624.973
000429.SZ,20251202,12.55,12.46,162261.61,202651.626
000429.SZ,20251201,12.46,12.03,306529.84,382126.642
000429.SZ,20251128,12.03,12.15,89398.62,107613.989
000429.SZ,20251127,12.15,12.18,72082.19,87285.556
000429.SZ,20251126,12.18,12.15,90584.68,110778.008
000429.SZ,20251125,12.15,12.14,80626.93,97599.581
000429.SZ,20251124,12.14,12.06,84285.15,102009.177
000429.SZ,20251121,12.06,12.25,103787.6,126530.683
000429.SZ,20251120,12.25,12.22,75503.01,92352.293
000429.SZ,20251119,12.22,12.36,64058.63,78695.737
000429.SZ,20251118,12.36,12.18,91545.45,112705.084
000429.SZ,20251117,12.18,12.22,90354.8,109860.917
000429.SZ,20251114,12.22,12.37,95770.64,117965.458
000429.SZ,20251113,12.37,12.48,103769.0,127998.136
000429.SZ,20251112,12.48,12.48,88537.37,110783.72
000429.SZ,20251111,12.48,12.35,95242.51,118267.72
000429.SZ,20251110,12.35,12.17,112314.31,137949.081
000429.SZ,20251107,12.17,12.23,69494.78,84773.345
000429.SZ,20251106,12.23,12.26,100638.63,122856.742
000429.SZ,20251105,12.26,12.19,174539.63,214185.02
000429.SZ,20251104,12.19,11.8,235713.04,284521.401
000429.SZ,20251103,11.8,11.61,117481.94,137439.497
000429.SZ,20251031,11.61,11.76,152101.51,176632.669
000429.SZ,20251030,11.76,11.81,90982.33,107182.899
000429.SZ,20251029,11.81,11.95,157346.72,186036.78
000429.SZ,20251028,11.95,11.79,157426.55,186920.059
000429.SZ,20251027,11.79,11.75,158028.7,185136.02
000429.SZ,20251024,11.75,11.63,214622.07,250797.955
000429.SZ,20251023,11.63,11.56,123842.52,144034.737
000429.SZ,20251022,11.56,11.4,155073.19,178955.86
000429.SZ,20251021,11.4,11.65,157506.43,180679.729
000429.SZ,20251020,11.65,11.64,157950.34,182557.202
000429.SZ,20251017,11.64,11.51,161036.65,186855.667
000429.SZ,20251016,11.51,11.46,121753.45,140270.643
000429.SZ,20251015,11.46,11.36,119343.43,136131.794
000429.SZ,20251014,11.36,11.34,129650.76,146336.614
000429.SZ,20251013,11.34,11.22,148211.68,166291.065
000429.SZ,20251010,11.22,11.07,116185.49,129954.106
000429.SZ,20251009,11.07,10.89,130310.16,143071.811
000429.SZ,20250930,10.89,10.97,80972.14,88204.532
000429.SZ,20250929,10.97,10.89,102892.49,112431.209
000429.SZ,20250926,10.89,10.77,142749.23,154184.669
000429.SZ,20250925,10.77,11.0,180354.11,194828.924
000429.SZ,20250924,11.0,10.88,241399.57,266847.5
000429.SZ,20250923,10.88,10.78,174874.07,189050.642
000429.SZ,20250922,10.78,10.7,159254.66,171900.16
000429.SZ,20250919,10.7,10.76,177126.85,188236.011
000429.SZ,20250918,10.76,10.92,173089.95,186463.145
000429.SZ,20250917,10.92,11.05,122515.01,134073.892
000429.SZ,20250916,11.05,11.14,95705.9,106230.499
000429.SZ,20250915,11.14,11.24,97454.43,108651.304
000429.SZ,20250912,11.24,11.35,98427.17,111298.129
000429.SZ,20250911,11.35,11.42,131954.98,149004.385
000429.SZ,20250910,11.42,11.43,52239.4,59604.245
000429.SZ,20250909,11.43,11.51,93908.24,107315.464
000429.SZ,20250908,11.51,11.5,88383.01,101832.362
000429.SZ,20250905,11.5,11.69,87364.95,100452.328
000429.SZ,20250904,11.69,11.6,96631.15,111859.875
000429.SZ,20250903,11.6,11.8,71348.66,83205.561
000429.SZ,20250902,11.8,11.7,96744.7,113619.06
000429.SZ,20250901,11.7,11.82,114118.1,133722.89
000429.SZ,20250829,11.82,11.93,97350.09,115550.241
000429.SZ,20250828,11.93,12.02,122839.89,146139.519
000429.SZ,20250827,12.02,12.13,96182.08,115985.784
000429.SZ,20250826,12.13,12.14,60618.01,73547.953
000429.SZ,20250825,12.14,12.07,82227.86,99515.263
000429.SZ,20250822,12.07,12.11,84413.4,101869.348
000429.SZ,20250821,12.11,12.11,94088.94,114073.328
000429.SZ,20250820,12.11,12.08,69441.95,83823.579
000429.SZ,20250819,12.08,12.16,65733.99,79528.84
000429.SZ,20250818,12.16,12.07,73147.31,88656.62
000429.SZ,20250815,12.07,12.23,136223.13,164154.641
000429.SZ,20250814,12.23,12.32,90111.82,110786.542
000429.SZ,20250813,12.32,12.38,78016.03,96145.74
000429.SZ,20250812,12.38,12.39,51753.2,64202.106
000429.SZ,20250811,12.39,12.6,72091.13,89597.796
000429.SZ,20250808,12.6,12.59,34314.0,43162.486
000429.SZ,20250807,12.59,12.55,41409.2,52000.381
000429.SZ,20250806,12.55,12.5,43132.0,53972.709
000429.SZ,20250805,12.5,12.41,48343.93,60221.641
000429.SZ,20250804,12.41,12.32,50639.5,62769.711
000429.SZ,20250801,12.32,12.35,53382.9,65771.027
000429.SZ,20250731,12.35,12.53,76267.0,94295.42
000429.SZ,20250730,12.53,12.42,71066.88,88876.207
000429.SZ,20250729,12.42,12.61,108832.97,134970.046
000429.SZ,20250728,12.61,12.79,120654.57,152458.459
000429.SZ,20250725,12.79,12.87,73110.21,93854.853
000429.SZ,20250724,12.87,12.88,68006.1,87267.882
000429.SZ,20250723,12.88,12.83,92988.48,119911.964
000429.SZ,20250722,12.83,12.78,68675.69,87885.115
000429.SZ,20250721,12.78,12.77,53214.17,67939.315
000429.SZ,20250718,12.77,12.75,67433.89,85963.097
000429.SZ,20250717,12.75,12.83,90324.58,115198.831
000429.SZ,20250716,12.83,12.81,83022.0,106638.463
000429.SZ,20250715,12.81,13.0,133137.49,171402.818
000429.SZ,20250714,13.0,13.48001475833231,214216.98,280923.337
000429.SZ,20250711,13.48001475833231,13.441500430451361,134571.4,187908.844
000429.SZ,20250710,13.441500430451361,13.335586028778748,94011.63,130883.206
000429.SZ,20250709,13.335586028778748,13.017842823760915,144608.65,199196.614
000429.SZ,20250708,13.017842823760915,13.085242897552577,107445.0,145756.068
000429.SZ,20250707,13.085242897552577,12.873414094207355,108115.83,145836.184
000429.SZ,20250704,12.873414094207355,12.70972820071332,123134.32,164740.984
000429.SZ,20250703,12.70972820071332,12.767499692534743,87283.32,115312.702
000429.SZ,20250702,12.767499692534743,12.96969991390973,126808.16,170044.72
000429.SZ,20250701,12.96969991390973,12.834899766326407,95589.0,128508.795
000429.SZ,20250630,12.834899766326407,12.815642602385932,56751.59,75739.394
000429.SZ,20250627,12.815642602385932,12.988957077850205,132178.12,176446.675
000429.SZ,20250626,12.988957077850205,13.123757225433529,86160.0,116669.219
000429.SZ,20250625,13.123757225433529,12.96969991390973,97661.16,132845.599
000429.SZ,20250624,12.96969991390973,13.114128643463289,123471.75,166934.163
000429.SZ,20250623,13.114128643463289,13.325957446808513,116236.31,158717.925
000429.SZ,20250620,13.325957446808513,13.152642971344239,91402.22,126064.584
000429.SZ,20250619,13.152642971344239,13.123757225433529,70629.42,96637.994
000429.SZ,20250618,13.123757225433529,13.143014389374002,56815.0,77492.51
000429.SZ,20250617,13.143014389374002,13.056357151641865,80692.81,110340.768
000429.SZ,20250616,13.056357151641865,13.239300209076378,117474.37,160026.12
000429.SZ,20250613,13.239300209076378,13.248928791046612,239902.9,328624.792
000429.SZ,20250612,13.248928791046612,13.402986102570413,202888.57,278597.633
000429.SZ,20250611,13.402986102570413,13.354843192719223,141275.0,196243.137
000429.SZ,20250610,13.354843192719223,13.508900504243021,109893.86,153552.174
000429.SZ,20250609,13.508900504243021,13.759243635469192,173984.32,245201.076
000429.SZ,20250606,13.759243635469192,13.691843561677532,48646.97,69495.076
000429.SZ,20250605,13.691843561677532,13.691843561677532,55025.24,78301.791
000429.SZ,20250604,13.691843561677532,13.576300578034683,62934.76,89442.09
000429.SZ,20250603,13.576300578034683,13.711100725618005,120084.67,169674.615
000429.SZ,20250530,13.711100725618005,13.643700651826345,115029.55,163408.163
000429.SZ,20250529,13.643700651826345,13.739986471528718,88477.83,125321.043
000429.SZ,20250528,13.739986471528718,13.595557741975156,76750.05,108736.41
000429.SZ,20250527,13.595557741975156,13.653329233796583,104692.15,148205.519
000429.SZ,20250526,13.653329233796583,13.932558110933465,80373.36,114788.138
000429.SZ,20250523,13.932558110933465,14.105872586397739,58065.33,84671.175
000429.SZ,20250522,14.105872586397739,14.05772967654655,58735.01,86049.622
