ts_code,trade_date,close,pre_close,vol,amount
002156.SZ,20260226,52.269999999999996,50.52,1447549.45,7468447.875
002156.SZ,20260225,50.52,49.15999999999999,1634861.93,8283856.168
002156.SZ,20260224,49.15999999999999,48.51,825312.24,4051653.906
002156.SZ,20260213,48.51,49.0,707971.04,3465249.051
002156.SZ,20260212,49.0,47.77000000000001,816685.38,3987061.444
002156.SZ,20260211,47.77000000000001,48.15999999999999,445197.37,2139791.346
002156.SZ,20260210,48.15999999999999,48.84,604226.45,2935108.497
002156.SZ,20260209,48.84,46.9,975785.39,4718913.251
002156.SZ,20260206,46.9,47.72,577609.54,2707360.75
002156.SZ,20260205,47.72,49.05,857011.17,4031416.301
002156.SZ,20260204,49.05,50.89,841738.79,4124405.166
002156.SZ,20260203,50.89,48.88,955251.72,4765009.325
002156.SZ,20260202,48.88,52.06,933906.21,4647905.302
002156.SZ,20260130,52.06,51.46999999999999,1219953.4,6237666.203
002156.SZ,20260129,51.46999999999999,54.11000000000001,1558991.53,8241297.805
002156.SZ,20260128,54.11000000000001,53.25,1836813.39,9996363.761
002156.SZ,20260127,53.25,51.800000000000004,1995510.55,10424967.769
002156.SZ,20260126,51.800000000000004,56.34,2101961.75,11225066.954
002156.SZ,20260123,56.34,56.0,2371206.19,13072191.508
002156.SZ,20260122,56.0,56.10999999999999,2884942.83,16247045.392
002156.SZ,20260121,56.10999999999999,51.01,1424126.78,7706564.22
002156.SZ,20260120,51.01,48.19,2006676.84,10099749.443
002156.SZ,20260119,48.19,46.86,2011594.8,9549565.349
002156.SZ,20260116,46.86,42.6,1777119.5,8013739.702
002156.SZ,20260115,42.6,40.92,841018.08,3506845.251
002156.SZ,20260114,40.92,40.32,769333.84,3172166.801
002156.SZ,20260113,40.32,42.26,818530.23,3356671.297
002156.SZ,20260112,42.26,41.83,1181022.89,5003059.154
002156.SZ,20260109,41.83,40.0,1039771.15,4350936.946
002156.SZ,20260108,40.0,40.08,720561.53,2911109.355
002156.SZ,20260107,40.08,39.97,786415.74,3148210.651
002156.SZ,20260106,39.97,39.54,785775.72,3134027.105
002156.SZ,20260105,39.54,37.7,798554.01,3126684.146
002156.SZ,20251231,37.7,38.29,439739.82,1667613.078
002156.SZ,20251230,38.29,37.4,659455.08,2523712.817
002156.SZ,20251229,37.4,37.51,385613.53,1454420.235
002156.SZ,20251226,37.51,37.62,336983.41,1267153.572
002156.SZ,20251225,37.62,37.73,354989.23,1334405.332
002156.SZ,20251224,37.73,37.47,376725.39,1416875.259
002156.SZ,20251223,37.47,37.19,482388.08,1812002.807
002156.SZ,20251222,37.19,35.77,538610.13,1989160.23
002156.SZ,20251219,35.77,35.75,364651.28,1321675.188
002156.SZ,20251218,35.75,36.29,256417.47,924878.595
002156.SZ,20251217,36.29,35.29,324433.95,1160367.578
002156.SZ,20251216,35.29,36.44,355630.13,1259631.726
002156.SZ,20251215,36.44,37.18,296898.32,1084463.59
002156.SZ,20251212,37.18,36.71,431559.84,1591315.144
002156.SZ,20251211,36.71,37.62,359577.6,1335662.767
002156.SZ,20251210,37.62,37.65,375830.34,1404949.395
002156.SZ,20251209,37.65,37.63,499810.64,1891398.746
002156.SZ,20251208,37.63,36.59,562676.21,2109320.231
002156.SZ,20251205,36.59,36.75,304853.59,1113323.823
002156.SZ,20251204,36.75,36.42,281469.08,1025508.795
002156.SZ,20251203,36.42,36.77,300559.29,1102713.917
002156.SZ,20251202,36.77,37.49,371802.38,1369177.376
002156.SZ,20251201,37.49,36.61,467154.66,1734223.21
002156.SZ,20251128,36.61,36.36,358923.43,1313468.733
002156.SZ,20251127,36.36,36.13,515832.44,1901400.165
002156.SZ,20251126,36.13,35.97,402274.07,1456907.364
002156.SZ,20251125,35.97,35.31,501639.3,1816951.571
002156.SZ,20251124,35.31,35.25,379415.36,1330922.647
002156.SZ,20251121,35.25,36.76,508615.87,1813365.969
002156.SZ,20251120,36.76,37.31,347908.79,1291179.458
002156.SZ,20251119,37.31,37.79,301419.08,1129394.307
002156.SZ,20251118,37.79,37.55,414559.4,1569078.785
002156.SZ,20251117,37.55,37.78,369544.48,1390840.767
