trade_date,open,high,low,close,volume,amount,ma_5,ma_10,ma_20,ma_30,breadth,heat_z,etf_turnover
20190102,4176.1098,4179.7233,4125.9356,4131.9567,47494449.0,35572462.261,4179.03618,4221.59747,4316.802375,4359.6253400000005,14.228456913827655,-0.7299400487259038,2.227586356820245
20190103,4131.6949,4182.1983,4110.527,4112.807,55491244.0,41103713.166,4156.4951,4202.15142,4295.632205,4345.470596666667,13.226452905811623,0.16233764052761893,2.4701535586645256
20190104,4075.6217,4210.8786,4071.6898,4210.8786,73448737.0,52230681.319,4156.9897599999995,4198.44937,4281.041029999999,4334.010726666666,28.857715430861724,2.086655249358965,3.4298979966660323
20190107,4235.0346,4297.0238,4223.4585,4288.3234,81153450.0,59231303.976,4182.4004,4201.3055699999995,4274.90278,4325.243960000001,49.298597194388776,2.7785219221866075,3.2175155794349526
20190108,4278.2802,4289.6278,4264.6001,4277.2967,69556937.0,49700132.327,4204.25248,4205.92084,4268.21965,4321.995036666666,51.503006012024045,1.2593523420796395,1.7234959200387923
20190109,4286.231,4354.1986,4280.6556,4288.7717,85153595.0,61510931.891,4235.6154799999995,4207.32583,4264.692625,4319.37203,56.312625250501,2.3180304589787073,5.023324911607653
20190110,4289.5591,4319.4941,4274.1955,4281.8606,68910889.0,49243142.091,4269.4262,4212.96065,4259.007145,4315.845666666666,56.51302605210421,0.7974274794295578,2.2675940346111663
20190111,4282.3935,4316.5413,4267.2889,4314.8757,68355085.0,46599960.152,4290.225619999999,4223.60769,4255.0847300000005,4311.61296,68.7374749498998,0.4319055187632684,2.3183941004693214
20190114,4317.5239,4325.9474,4278.761,4286.5474,67679614.0,44765955.49,4289.87042,4236.135410000001,4247.25424,4309.641106666667,63.126252505010015,0.2355058921549816,1.384669018760358
20190115,4282.9863,4350.9338,4271.6362,4347.3555,72005181.0,50608143.347,4303.88218,4254.06733,4247.76689,4308.664586666667,75.95190380761522,0.8958425979150574,3.0648952308571764
20190116,4347.0758,4364.0963,4330.7437,4336.8779,69274744.0,50030063.79,4313.50342,4274.55945,4248.07846,4302.721399999999,76.35270541082164,0.7546478829890646,2.056748982153227
20190117,4334.6309,4347.1786,4297.6681,4303.7308,74562113.0,48421136.078,4317.877460000001,4293.65183,4247.901625,4294.9720800000005,65.7314629258517,0.5076204897064253,1.9412502170301884
20190118,4307.1386,4351.4382,4297.4773,4347.8112,83371611.0,55476936.297,4324.46456,4307.345090000001,4252.89723,4289.80905,74.54909819639278,1.203984594135699,2.8936328870894283
20190121,4354.6997,4395.0631,4352.8102,4373.6333,72781531.0,52937642.778,4341.88174,4315.87608,4258.590825,4288.560546666667,79.75951903807615,0.8208844407717959,2.7758247503161666
20190122,4370.8568,4370.8568,4291.9624,4308.2518,69496672.0,47826602.461,4334.061,4318.97159,4262.446215000001,4285.136963333333,60.52104208416834,0.14271255761009202,2.343715504747529
20190123,4298.938,4322.8895,4292.0872,4315.6846,58485735.0,40571874.37,4329.822340000001,4321.66288,4264.494355000001,4283.68271,59.519038076152306,-0.8744062030047913,1.5176396313434057
20190124,4318.7091,4363.2181,4292.8296,4338.17,70630305.0,51572057.927,4336.71018,4327.29382,4270.127235,4281.76937,65.93186372745491,0.5495527357286316,2.4036534237734735
20190125,4341.4133,4359.4637,4315.9525,4318.4417,71657478.0,52504910.506,4330.83628,4327.65042,4275.629054999999,4279.273293333334,57.11422845691383,0.601281922058952,2.043848808581323
20190128,4341.4922,4370.898,4297.9632,4307.2196,67279935.0,49287478.132,4317.553539999999,4329.71764,4282.926525000001,4274.74204,48.49699398797595,0.0697789614303761,2.60425339865453
20190129,4301.4692,4301.4692,4188.594,4254.2875,77753727.0,54223809.273,4306.76068,4320.41084,4287.239084999999,4271.98154,33.26653306613226,0.7449746901594937,3.55471160220116
20190130,4235.2746,4266.8811,4211.1908,4211.6235,58513770.0,42466758.483,4285.94846,4307.8854,4291.222425,4268.0141066666665,27.45490981963928,-1.3899909930195558,2.3022281981331982
20190131,4203.9772,4240.7162,4151.414,4176.4739,71511205.0,47694716.159,4253.60924,4295.159710000001,4294.405769999999,4263.65432,24.849699398797593,-0.5250438760663168,4.041718693186634
20190201,4189.1098,4295.0379,4189.1098,4294.2696,66099677.0,47693471.397,4248.774820000001,4289.80555,4298.57532,4265.200003333333,42.0,-0.47914162184345965,4.653197661957223
20190211,4306.2006,4403.7282,4306.2006,4402.8668,75297356.0,56743679.262,4267.904259999999,4292.7289,4304.30249,4269.970183333334,62.2,1.3913028278267745,3.533498181424186
20190212,4398.4427,4452.5007,4394.8339,4439.485,85271156.0,61588925.289,4304.94376,4305.85222,4312.411905,4276.914883333334,74.4,2.0005855800961867,3.2682735720743454
20190213,4442.7279,4526.2699,4433.0271,4512.4088,113218903.0,82940466.826,4365.100820000001,4325.52464,4323.593760000001,4284.837783333333,87.0,3.5455860397942405,3.828938477064045
20190214,4507.8406,4555.2331,4494.5521,4532.1699,94828533.0,70164059.523,4436.24002,4344.9246299999995,4336.109225,4295.0597,88.6,1.7968794495564728,2.3716299302290684
20190215,4523.9449,4544.3864,4497.3858,4502.7348,93511607.0,67254618.818,4477.93306,4363.353939999999,4345.50218,4304.870683333334,86.8,1.335322589083191,2.759696441306973
20190218,4527.9685,4660.999,4527.9685,4660.999,124124004.0,92189941.713,4529.5595,4398.73188,4364.22476,4321.52831,96.0,2.76630369369466,3.96046721659794
20190219,4683.3252,4706.5253,4614.2779,4667.2836,143874768.0,105704251.188,4575.11922,4440.03149,4380.221165,4338.169886666667,96.8,2.75059352763321,3.915112163638203
20190220,4667.3534,4677.9779,4619.46,4667.6243,120213129.0,87303394.555,4606.16232,4485.63157,4396.758485,4356.025473333333,97.2,1.4746049396051697,2.699125049391147
20190221,4666.2814,4750.418,4643.1096,4659.1431,145951113.0,111329120.909,4631.55696,4533.89849,4414.529100000001,4374.236676666666,95.39999999999999,2.2593714636025277,3.7737166605184735
20190222,4651.538,4777.2977,4649.2158,4777.2977,146166142.0,111540083.319,4686.46954,4582.2013,4436.003425000001,4393.117313333333,97.0,1.9151317708045597,2.8386053895131362
20190225,4840.5434,5045.0755,4835.4825,5044.3466,241783579.0,190541189.54,4763.1390599999995,4646.34928,4469.53909,4418.318086666666,99.6,3.2489445334138596,7.338804301483924
20190226,5059.284,5149.6229,5004.552,5038.5435,262833265.0,196257557.763,4837.39104,4706.25513,4506.053675,4443.692980000001,99.0,2.5802603627164618,5.603971919469998
20190227,5027.3875,5093.7952,4964.623,5017.8842,208854087.0,155472037.772,4907.443020000001,4756.80267,4541.163655,4467.99673,98.0,1.4766860554941597,4.64605396932564
20190228,5017.4403,5072.6687,4994.0501,5025.2913,156042877.0,116972246.66,4980.67266,4806.114810000001,4575.51972,4492.777753333333,98.4,0.5832865852515048,3.060515743947153
20190301,5047.2277,5067.3068,4984.993,5067.225,149828330.0,112765394.519,5038.65812,4862.56383,4612.958885,4517.856063333334,98.4,0.43291801535490176,4.159752675229086
20190304,5112.9515,5253.388,5108.2823,5158.2467,232446864.0,183781732.246,5061.43814,4912.2886,4655.51024,4546.912706666667,99.4,1.7270146555761945,4.794066366267499
20190305,5146.6204,5295.2878,5125.154,5295.2878,206891261.0,168045744.43,5112.787,4975.089019999999,4707.560255,4578.510450000001,99.2,1.2597659156283136,4.033574065437403
20190306,5328.1279,5395.554,5256.7934,5390.0294,264964318.0,209513257.016,5187.21604,5047.329530000001,4766.48055,4613.6155,99.6,1.8225710532754271,7.596334795508011
20190307,5381.2266,5512.6438,5353.5735,5458.6153,266967220.0,214811701.314,5273.88084,5127.27675,4830.58762,4652.111650000001,98.8,1.6940083150006586,6.339781186332244
20190308,5340.1057,5480.1728,5245.5313,5245.6999,285680249.0,229867708.7,5309.57582,5174.11697,4878.159135,4682.041273333334,89.0,1.7366805248976218,7.480761556356616
20190311,5279.7507,5456.4199,5272.1903,5456.381,214252213.0,185766885.698,5369.20268,5215.32041,4930.834844999999,4718.132863333333,96.6,0.8711192997024565,5.970567458789255
20190312,5500.9359,5591.6863,5458.7596,5551.0029,249333993.0,216216097.859,5420.3457,5266.56635,4986.41074,4759.5579,98.0,1.2919484118194218,5.668501037798947
20190313,5557.1556,5557.1556,5388.2464,5424.8642,224349236.0,201483723.055,5427.3126600000005,5307.26435,5032.033509999999,4796.530553333334,94.19999999999999,0.9268922174206322,6.7568028923611765
20190314,5381.11,5432.5207,5236.7529,5298.5024,178608679.0,154289289.899,5395.290080000001,5334.58546,5070.350135,4828.541633333333,84.8,-0.02501897333487976,4.426576942314304
20190315,5328.8085,5418.3293,5308.0621,5359.0087,152846465.0,139681586.047,5417.95184,5363.76383,5113.1638299999995,4863.2272,89.4,-0.42047589074257646,4.545787758433749
20190318,5387.3756,5501.183,5333.2557,5501.183,172655255.0,153883835.94,5426.91224,5398.057460000001,5155.17303,4903.02598,96.0,-0.1919440477194243,4.012225022886539
20190319,5505.6985,5555.1227,5486.7986,5522.1801,166713931.0,150233661.548,5421.14768,5420.74669,5197.917855000001,4945.289066666666,94.6,-0.34181749592911004,2.5904132425607194
20190320,5518.3087,5533.0525,5415.7549,5515.7856,176820735.0,154380099.338,5439.33196,5433.32231,5240.32592,4988.761136666667,90.8,-0.35736254659689665,3.578420635349433
20190321,5525.9922,5634.6618,5513.392,5589.478,207150045.0,184005098.812,5497.52708,5446.40858,5286.842664999999,5035.861273333333,92.4,0.3542887656975626,4.207034416071887
20190322,5591.0427,5625.095,5505.8058,5622.1402,181954823.0,168610426.964,5550.153380000001,5484.052610000001,5329.08479,5080.1236266666665,90.8,-0.17618244168699476,3.8910701844687035
